t,accel_raw,gyro_raw,kalman_angle
1.43,-0.010799777,-0.18292683,-7.9580255
1.4399999,-0.009268027,-0.18292683,-8.058495
1.4499999,-0.009304335,-0.12195122,-8.14908
1.4599999,-0.010757531,-0.18292683,-8.305163
1.4699999,-0.008788836,-0.18292683,-8.475518
1.48,-0.00879313,-0.24390244,-8.706449
1.49,-0.010248544,-0.24390244,-8.973809
1.5,-0.011219041,-0.18292683,-9.246602
1.51,-0.011262991,-0.06097561,-9.495451
1.52,-0.0117239375,-0.24390244,-9.8945265
1.53,-0.009304335,-0.18292683,-10.303575
1.54,-0.010757531,-0.24390244,-10.817025
1.55,-0.012713252,-0.12195122,-11.347967
1.56,-0.013691076,-0.30487806,-12.076712
1.5699999,-0.009281609,-0.24390244,-12.873595
1.5799999,-0.0117067825,-0.12195122,-13.758976
1.5899999,-0.013724629,-0.24390244,-14.907448
1.5999999,-0.0127319265,-0.24390244,-16.303139
1.61,-0.009789213,-0.12195122,-17.96726
1.62,-0.0107260635,-0.18292683,-20.14522
1.63,-0.00829654,-0.06097561,-22.953959
1.64,-0.009784424,-0.12195122,-26.876955
1.65,-0.00977964,-0.24390244,-32.680706
1.66,-0.010258556,-0.24390244,-41.866837
1.67,-0.011235482,-0.24390244,-58.564594
1.68,-0.00828845,-0.12195122,-98.2872
1.6899999,-0.008797427,-0.12195122,-313.76855
1.6999999,-0.011251971,-0.18292683,258.62543
1.7099999,-0.00977486,15.487805,94.018234
1.7199999,-0.011235482,-0.24390244,56.415924
1.73,-0.010741774,-0.18292683,39.900505
1.74,-0.011712495,-0.18292683,30.555384
1.75,-0.01124647,-0.12195122,24.570156
1.76,-0.010253547,-0.06097561,20.43515
1.77,-0.012248285,0.0,17.394062
1.78,-0.0088017285,-0.18292683,15.025873
1.79,-0.009784424,-0.24390244,13.121795
1.8,-0.010752274,-0.24390244,11.578967
1.81,-0.008304645,-0.12195122,10.398445
1.8199999,-0.009770085,-0.18292683,9.376422
1.8299999,-0.010283673,-0.12195122,8.544428
1.8399999,-0.010747022,-0.06097561,7.8665133
1.86,-0.012262485,-0.30487806,7.157856
1.87,-0.008276344,-0.18292683,6.6452384
1.89,-0.012218356,-0.30487806,6.112727
1.9,-0.0139499875,-0.12195122,5.7304807
1.91,-0.010253547,-0.06097561,5.45981
1.92,-0.010258556,-0.18292683,5.16584
1.93,-0.012812669,-0.06097561,4.9540477
1.9399999,-0.0107260635,-0.18292683,4.726612
1.9499999,-0.0117239375,-0.18292683,4.52443
1.9599999,-0.013392056,-0.06097561,4.4016566
1.9699999,-0.0107680615,-0.30487806,4.1944537
1.9799999,-0.010762794,-0.24390244,4.0491576
1.99,-0.0097462805,-0.18292683,3.9658103
2.0,-0.009770085,-0.18292683,3.9003184
2.01,-0.011728394,-0.30487806,3.7772627
2.02,-0.007807984,-0.18292683,3.7646856
2.03,-0.010288711,-0.12195122,3.7815812
2.05,-0.009277077,-0.18292683,3.7847188
2.06,-0.0117067825,-0.12195122,3.819929
2.07,-0.009808415,-0.12195122,3.8791068
2.08,-0.010293755,-0.12195122,3.9484513
2.09,-0.009295232,-0.18292683,4.0054874
2.1,-0.011251971,-0.06097561,4.1337767
2.11,-0.011712495,-0.18292683,4.2108736
2.1299999,-0.010253547,-0.18292683,4.317479
2.1399999,-0.009784424,-0.24390244,4.4174633
2.1499999,-0.010288711,-0.18292683,4.5754204
2.1599998,-0.012707039,-0.12195122,4.784832
